year,week,week_start,week_end,station,pollen,level,trend
2021,10,2021-03-08,2021-03-14,BARCELONA,Platanus,1,A
2021,10,2021-03-08,2021-03-14,BELLATERRA,Platanus,1,A
2021,10,2021-03-08,2021-03-14,GIRONA,Platanus,0,A
2021,10,2021-03-08,2021-03-14,LLEIDA,Platanus,0,A
2021,10,2021-03-08,2021-03-14,MANRESA,Platanus,1,A
2021,10,2021-03-08,2021-03-14,PLANES,Platanus,0,=
2021,10,2021-03-08,2021-03-14,ROQUETES-TORTOSA,Platanus,1,A
2021,10,2021-03-08,2021-03-14,TARRAGONA,Platanus,1,A
2021,10,2021-03-08,2021-03-14,VIELHA,Platanus,0,=
2021,11,2021-03-15,2021-03-21,BARCELONA,Platanus,4,=
2021,11,2021-03-15,2021-03-21,BELLATERRA,Platanus,2,A
2021,11,2021-03-15,2021-03-21,GIRONA,Platanus,4,=
2021,11,2021-03-15,2021-03-21,LLEIDA,Platanus,2,A
2021,11,2021-03-15,2021-03-21,MANRESA,Platanus,2,A
2021,11,2021-03-15,2021-03-21,PLANES,Platanus,0,=
2021,11,2021-03-15,2021-03-21,ROQUETES-TORTOSA,Platanus,2,A
2021,11,2021-03-15,2021-03-21,TARRAGONA,Platanus,2,A
2021,11,2021-03-15,2021-03-21,VIELHA,Platanus,0,=
2021,12,2021-03-22,2021-03-28,BARCELONA,Platanus,4,=
2021,12,2021-03-22,2021-03-28,BELLATERRA,Platanus,3,=
2021,12,2021-03-22,2021-03-28,GIRONA,Platanus,4,=
2021,12,2021-03-22,2021-03-28,LLEIDA,Platanus,2,A
2021,12,2021-03-22,2021-03-28,MANRESA,Platanus,3,A
2021,12,2021-03-22,2021-03-28,PLANES,Platanus,0,=
2021,12,2021-03-22,2021-03-28,ROQUETES-TORTOSA,Platanus,3,=
2021,12,2021-03-22,2021-03-28,TARRAGONA,Platanus,4,=
2021,12,2021-03-22,2021-03-28,VIELHA,Platanus,0,=
2021,13,2021-03-29,2021-04-04,BARCELONA,Platanus,4,=
2021,13,2021-03-29,2021-04-04,BELLATERRA,Platanus,4,=
2021,13,2021-03-29,2021-04-04,GIRONA,Platanus,4,=
2021,13,2021-03-29,2021-04-04,LLEIDA,Platanus,4,=
2021,13,2021-03-29,2021-04-04,MANRESA,Platanus,4,=
2021,13,2021-03-29,2021-04-04,PLANES,Platanus,0,=
2021,13,2021-03-29,2021-04-04,ROQUETES-TORTOSA,Platanus,2,=
2021,13,2021-03-29,2021-04-04,TARRAGONA,Platanus,4,=
2021,13,2021-03-29,2021-04-04,VIELHA,Platanus,0,=
2021,14,2021-04-05,2021-04-11,BARCELONA,Platanus,4,=
2021,14,2021-04-05,2021-04-11,BELLATERRA,Platanus,4,=
2021,14,2021-04-05,2021-04-11,GIRONA,Platanus,4,=
2021,14,2021-04-05,2021-04-11,LLEIDA,Platanus,4,=
2021,14,2021-04-05,2021-04-11,MANRESA,Platanus,4,=
2021,14,2021-04-05,2021-04-11,PLANES,Platanus,1,=
2021,14,2021-04-05,2021-04-11,ROQUETES-TORTOSA,Platanus,2,=
2021,14,2021-04-05,2021-04-11,TARRAGONA,Platanus,4,=
2021,14,2021-04-05,2021-04-11,VIELHA,Platanus,1,=
2021,15,2021-04-12,2021-04-18,BARCELONA,Platanus,4,=
2021,15,2021-04-12,2021-04-18,BELLATERRA,Platanus,4,=
2021,15,2021-04-12,2021-04-18,GIRONA,Platanus,4,=
2021,15,2021-04-12,2021-04-18,LLEIDA,Platanus,4,=
2021,15,2021-04-12,2021-04-18,MANRESA,Platanus,4,=
2021,15,2021-04-12,2021-04-18,PLANES,Platanus,1,=
2021,15,2021-04-12,2021-04-18,ROQUETES-TORTOSA,Platanus,2,=
2021,15,2021-04-12,2021-04-18,TARRAGONA,Platanus,3,=
2021,15,2021-04-12,2021-04-18,VIELHA,Platanus,1,=
2021,16,2021-04-19,2021-04-25,BARCELONA,Platanus,4,D
2021,16,2021-04-19,2021-04-25,BELLATERRA,Platanus,4,D
2021,16,2021-04-19,2021-04-25,GIRONA,Platanus,4,=
2021,16,2021-04-19,2021-04-25,LLEIDA,Platanus,2,=
2021,16,2021-04-19,2021-04-25,MANRESA,Platanus,4,D
2021,16,2021-04-19,2021-04-25,PLANES,Platanus,1,=
2021,16,2021-04-19,2021-04-25,ROQUETES-TORTOSA,Platanus,1,=
2021,16,2021-04-19,2021-04-25,TARRAGONA,Platanus,2,=
2021,16,2021-04-19,2021-04-25,VIELHA,Platanus,1,=
2021,17,2021-04-26,2021-05-02,BARCELONA,Platanus,2,D
2021,17,2021-04-26,2021-05-02,BELLATERRA,Platanus,2,D
2021,17,2021-04-26,2021-05-02,GIRONA,Platanus,3,D
2021,17,2021-04-26,2021-05-02,LLEIDA,Platanus,1,=
2021,17,2021-04-26,2021-05-02,MANRESA,Platanus,2,D
2021,17,2021-04-26,2021-05-02,PLANES,Platanus,1,=
2021,17,2021-04-26,2021-05-02,ROQUETES-TORTOSA,Platanus,0,=
2021,17,2021-04-26,2021-05-02,TARRAGONA,Platanus,1,=
2021,17,2021-04-26,2021-05-02,VIELHA,Platanus,1,=
2021,18,2021-05-03,2021-05-09,BARCELONA,Platanus,1,D
2021,18,2021-05-03,2021-05-09,BELLATERRA,Platanus,1,D
2021,18,2021-05-03,2021-05-09,GIRONA,Platanus,2,D
2021,18,2021-05-03,2021-05-09,LLEIDA,Platanus,1,=
2021,18,2021-05-03,2021-05-09,MANRESA,Platanus,1,D
2021,18,2021-05-03,2021-05-09,PLANES,Platanus,1,=
2021,18,2021-05-03,2021-05-09,ROQUETES-TORTOSA,Platanus,0,=
2021,18,2021-05-03,2021-05-09,TARRAGONA,Platanus,1,=
2021,18,2021-05-03,2021-05-09,VIELHA,Platanus,1,=
2021,19,2021-05-10,2021-05-16,BARCELONA,Platanus,1,=
2021,19,2021-05-10,2021-05-16,BELLATERRA,Platanus,1,D
2021,19,2021-05-10,2021-05-16,GIRONA,Platanus,1,D
2021,19,2021-05-10,2021-05-16,LLEIDA,Platanus,1,D
2021,19,2021-05-10,2021-05-16,MANRESA,Platanus,1,D
2021,19,2021-05-10,2021-05-16,PLANES,Platanus,1,D
2021,19,2021-05-10,2021-05-16,ROQUETES-TORTOSA,Platanus,0,=
2021,19,2021-05-10,2021-05-16,TARRAGONA,Platanus,1,D
2021,19,2021-05-10,2021-05-16,VIELHA,Platanus,1,D
2021,20,2021-05-17,2021-05-23,BARCELONA,Platanus,1,=
2021,20,2021-05-17,2021-05-23,BELLATERRA,Platanus,0,=
2021,20,2021-05-17,2021-05-23,GIRONA,Platanus,0,=
2021,20,2021-05-17,2021-05-23,LLEIDA,Platanus,0,=
2021,20,2021-05-17,2021-05-23,MANRESA,Platanus,0,=
2021,20,2021-05-17,2021-05-23,PLANES,Platanus,0,=
2021,20,2021-05-17,2021-05-23,ROQUETES-TORTOSA,Platanus,0,=
2021,20,2021-05-17,2021-05-23,TARRAGONA,Platanus,0,=
2021,20,2021-05-17,2021-05-23,VIELHA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,BARCELONA,Platanus,1,=
2021,21,2021-05-24,2021-05-30,BELLATERRA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,GIRONA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,LLEIDA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,MANRESA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,PLANES,Platanus,0,=
2021,21,2021-05-24,2021-05-30,ROQUETES-TORTOSA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,TARRAGONA,Platanus,0,=
2021,21,2021-05-24,2021-05-30,VIELHA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,BARCELONA,Platanus,1,=
2021,22,2021-05-31,2021-06-06,BELLATERRA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,GIRONA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,LLEIDA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,MANRESA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,PLANES,Platanus,0,=
2021,22,2021-05-31,2021-06-06,ROQUETES-TORTOSA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,TARRAGONA,Platanus,0,=
2021,22,2021-05-31,2021-06-06,VIELHA,Platanus,0,=
2022,9,2022-02-28,2022-03-06,BARCELONA,Platanus,0,A
2022,9,2022-02-28,2022-03-06,BELLATERRA,Platanus,0,=
2022,9,2022-02-28,2022-03-06,GIRONA,Platanus,0,=
2022,9,2022-02-28,2022-03-06,LLEIDA,Platanus,0,=
2022,9,2022-02-28,2022-03-06,MANRESA,Platanus,0,=
2022,9,2022-02-28,2022-03-06,PLANES,Platanus,0,=
2022,9,2022-02-28,2022-03-06,ROQUETES-TORTOSA,Platanus,0,=
2022,9,2022-02-28,2022-03-06,TARRAGONA,Platanus,0,A
2022,9,2022-02-28,2022-03-06,VIELHA,Platanus,0,=
2022,10,2022-03-07,2022-03-13,BARCELONA,Platanus,2,A
2022,10,2022-03-07,2022-03-13,BELLATERRA,Platanus,0,A
2022,10,2022-03-07,2022-03-13,GIRONA,Platanus,2,A
2022,10,2022-03-07,2022-03-13,LLEIDA,Platanus,1,A
2022,10,2022-03-07,2022-03-13,MANRESA,Platanus,1,A
2022,10,2022-03-07,2022-03-13,PLANES,Platanus,0,=
2022,10,2022-03-07,2022-03-13,ROQUETES-TORTOSA,Platanus,1,A
2022,10,2022-03-07,2022-03-13,TARRAGONA,Platanus,1,A
2022,10,2022-03-07,2022-03-13,VIELHA,Platanus,0,=
2022,11,2022-03-14,2022-03-20,BARCELONA,Platanus,3,A
2022,11,2022-03-14,2022-03-20,BELLATERRA,Platanus,1,A
2022,11,2022-03-14,2022-03-20,GIRONA,Platanus,2,A
2022,11,2022-03-14,2022-03-20,LLEIDA,Platanus,1,A
2022,11,2022-03-14,2022-03-20,MANRESA,Platanus,1,A
2022,11,2022-03-14,2022-03-20,PLANES,Platanus,0,=
2022,11,2022-03-14,2022-03-20,ROQUETES-TORTOSA,Platanus,1,A
2022,11,2022-03-14,2022-03-20,TARRAGONA,Platanus,2,A
2022,11,2022-03-14,2022-03-20,VIELHA,Platanus,0,=
2022,12,2022-03-21,2022-03-27,BARCELONA,Platanus,4,=
2022,12,2022-03-21,2022-03-27,BELLATERRA,Platanus,2,A
2022,12,2022-03-21,2022-03-27,GIRONA,Platanus,4,=
2022,12,2022-03-21,2022-03-27,LLEIDA,Platanus,2,=
2022,12,2022-03-21,2022-03-27,MANRESA,Platanus,2,A
2022,12,2022-03-21,2022-03-27,PLANES,Platanus,0,=
2022,12,2022-03-21,2022-03-27,ROQUETES-TORTOSA,Platanus,2,=
2022,12,2022-03-21,2022-03-27,TARRAGONA,Platanus,3,A
2022,12,2022-03-21,2022-03-27,VIELHA,Platanus,0,=
2022,13,2022-03-28,2022-04-03,BARCELONA,Platanus,4,=
2022,13,2022-03-28,2022-04-03,BELLATERRA,Platanus,4,=
2022,13,2022-03-28,2022-04-03,GIRONA,Platanus,4,=
2022,13,2022-03-28,2022-04-03,LLEIDA,Platanus,4,=
2022,13,2022-03-28,2022-04-03,MANRESA,Platanus,2,A
2022,13,2022-03-28,2022-04-03,PLANES,Platanus,0,=
2022,13,2022-03-28,2022-04-03,ROQUETES-TORTOSA,Platanus,2,=
2022,13,2022-03-28,2022-04-03,TARRAGONA,Platanus,4,=
2022,13,2022-03-28,2022-04-03,VIELHA,Platanus,0,=
2022,14,2022-04-04,2022-04-10,BARCELONA,Platanus,4,=
2022,14,2022-04-04,2022-04-10,GIRONA,Platanus,4,=
2022,14,2022-04-04,2022-04-10,LLEIDA,Platanus,4,=
2022,14,2022-04-04,2022-04-10,MANRESA,Platanus,2,A
2022,14,2022-04-04,2022-04-10,PLANES,Platanus,0,=
2022,14,2022-04-04,2022-04-10,ROQUETES-TORTOSA,Platanus,2,=
2022,14,2022-04-04,2022-04-10,TARRAGONA,Platanus,2,=
2022,14,2022-04-04,2022-04-10,VIELHA,Platanus,0,=
2022,15,2022-04-11,2022-04-17,BARCELONA,Platanus,4,=
2022,15,2022-04-11,2022-04-17,GIRONA,Platanus,4,=
2022,15,2022-04-11,2022-04-17,LLEIDA,Platanus,4,=
2022,15,2022-04-11,2022-04-17,MANRESA,Platanus,4,=
2022,15,2022-04-11,2022-04-17,PLANES,Platanus,0,=
2022,15,2022-04-11,2022-04-17,ROQUETES-TORTOSA,Platanus,2,=
2022,15,2022-04-11,2022-04-17,TARRAGONA,Platanus,2,=
2022,15,2022-04-11,2022-04-17,VIELHA,Platanus,0,=
2022,16,2022-04-18,2022-04-24,BARCELONA,Platanus,2,=
2022,16,2022-04-18,2022-04-24,BELLATERRA,Platanus,2,=
2022,16,2022-04-18,2022-04-24,GIRONA,Platanus,3,=
2022,16,2022-04-18,2022-04-24,LLEIDA,Platanus,3,=
2022,16,2022-04-18,2022-04-24,MANRESA,Platanus,3,=
2022,16,2022-04-18,2022-04-24,PLANES,Platanus,0,=
2022,16,2022-04-18,2022-04-24,ROQUETES-TORTOSA,Platanus,2,=
2022,16,2022-04-18,2022-04-24,TARRAGONA,Platanus,2,=
2022,16,2022-04-18,2022-04-24,VIELHA,Platanus,0,=
2022,17,2022-04-25,2022-05-01,BARCELONA,Platanus,2,=
2022,17,2022-04-25,2022-05-01,BELLATERRA,Platanus,2,=
2022,17,2022-04-25,2022-05-01,GIRONA,Platanus,3,=
2022,17,2022-04-25,2022-05-01,LLEIDA,Platanus,2,=
2022,17,2022-04-25,2022-05-01,MANRESA,Platanus,4,=
2022,17,2022-04-25,2022-05-01,PLANES,Platanus,0,=
2022,17,2022-04-25,2022-05-01,ROQUETES-TORTOSA,Platanus,1,=
2022,17,2022-04-25,2022-05-01,TARRAGONA,Platanus,1,=
2022,17,2022-04-25,2022-05-01,VIELHA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,BARCELONA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,BELLATERRA,Platanus,2,=
2022,18,2022-05-02,2022-05-08,GIRONA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,LLEIDA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,MANRESA,Platanus,3,=
2022,18,2022-05-02,2022-05-08,PLANES,Platanus,0,=
2022,18,2022-05-02,2022-05-08,ROQUETES-TORTOSA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,TARRAGONA,Platanus,1,=
2022,18,2022-05-02,2022-05-08,VIELHA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,BARCELONA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,BELLATERRA,Platanus,2,=
2022,19,2022-05-09,2022-05-15,GIRONA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,LLEIDA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,MANRESA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,PLANES,Platanus,0,=
2022,19,2022-05-09,2022-05-15,ROQUETES-TORTOSA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,TARRAGONA,Platanus,1,=
2022,19,2022-05-09,2022-05-15,VIELHA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,BARCELONA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,BELLATERRA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,GIRONA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,MANRESA,Platanus,1,=
2022,20,2022-05-16,2022-05-22,PLANES,Platanus,0,=
2022,20,2022-05-16,2022-05-22,ROQUETES-TORTOSA,Platanus,0,=
2022,20,2022-05-16,2022-05-22,TARRAGONA,Platanus,0,=
2022,20,2022-05-16,2022-05-22,VIELHA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,BARCELONA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,BELLATERRA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,GIRONA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,LLEIDA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,MANRESA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,PLANES,Platanus,0,=
2023,10,2023-03-06,2023-03-12,ROQUETES-TORTOSA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,TARRAGONA,Platanus,0,=
2023,10,2023-03-06,2023-03-12,VIELHA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,BARCELONA,Platanus,0,A
2023,11,2023-03-13,2023-03-19,BELLATERRA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,GIRONA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,LLEIDA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,MANRESA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,PLANES,Platanus,0,=
2023,11,2023-03-13,2023-03-19,ROQUETES-TORTOSA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,TARRAGONA,Platanus,0,=
2023,11,2023-03-13,2023-03-19,VIELHA,Platanus,0,=
2023,12,2023-03-20,2023-03-26,BARCELONA,Platanus,3,A
